name,id,n,mean_rank,win_rate,top4_rate
seventh_reward,seventh_reward,96,4.208333333333333,0.1875,0.5520833333333334
off,off,96,4.28125,0.1875,0.5208333333333334
factory_line,factory_line,96,4.375,0.17708333333333334,0.5
fortitude,fortitude,96,4.40625,0.13541666666666666,0.4895833333333333
refresh,refresh,96,4.427083333333333,0.13541666666666666,0.5208333333333334
crowded,crowded,96,4.427083333333333,0.14583333333333334,0.4791666666666667
might,might,96,4.447916666666667,0.17708333333333334,0.4895833333333333
no_face_no_case,no_face_no_case,96,4.458333333333333,0.10416666666666667,0.4895833333333333
prudence,prudence,96,4.46875,0.16666666666666666,0.4479166666666667
norgannon,norgannon,96,4.5625,0.15625,0.4375
instant_warband,instant_warband,96,4.666666666666667,0.15625,0.46875
double_header,double_header,96,4.697916666666667,0.15625,0.4375
grapnel,grapnel,96,4.927083333333333,0.125,0.4270833333333333
